lipid,logFC,logCPM,LR,PValue,FDR,Transition,type,40DN1,40DN2,40DN3,40DN4,40DN5,5DN1,5DN2,5DN3,5DN4,5DN5,SolventBlank1
PI (22:1),-5.7477442662281755,6.455142873236337,410.4692222751467,2.897270027686721e-91,3.835985516657219e-88,672.3818 -> 395.3818,PI,1572.0201187133,1563.2801094057,1574.6801109313,1532.4401092527,1532.7401046751,53377.40376283,162643.049636933,56246.4639319953,61313.443298348,64345.845062281,27108.701705945
Lyso_PI(22:1),-5.704732518123169,6.501469485711844,406.02850666781103,2.683049711868796e-90,1.7761789092571431e-87,672.3744 -> 395.3744,PI,1758.4801101683,1573.3401145936,1576.020111084,1536.9601211547,1769.6201210025,57495.664398233,172374.510467635,52693.3633842662,61261.66383362,64799.685195918,29041.261825561
Lyso_PI(22:0),-5.4998649324945115,6.300580410217087,384.7299968475186,1.1619384514354797e-85,5.128021699001917e-83,674.3901 -> 397.3901,PI,1533.9201126101,1590.5801162719,1539.6401062011,1531.20010376,1604.2201080323,69037.125030514,71921.18583683,64225.1842003328,67295.904998794,61422.844482481,33207.222427364
PI (22:0),-5.475155843865733,6.271182377760277,382.18358086549887,4.1645196493833994e-85,1.378456003945905e-82,674.3975 -> 397.3975,PI,1550.9601173404,1631.0401191712,1551.6601181028,1568.540119171,1600.5201072693,69195.784484839,68601.544647198,65738.0843963031,65338.304046585,63362.544692991,30096.682006838
Lyso_PG(22:1),-4.247777618407409,5.380949560784179,258.64548429943153,3.386656336984276e-58,8.967865980334362e-56,584.3584 -> 395.3584,PG,2269.9801673884,1933.8201179508,1873.4201164253,1501.2601089475,1923.2801322941,33090.9026183828,41691.202728272,35738.002601587,35743.4628372329,25123.1412963561,17796.5814971869
PG (22:1),-4.137573777826562,5.293769137136562,247.96283613949396,7.220493887595068e-56,1.5933223178626448e-53,584.3658 -> 395.3658,PG,1848.4401283266,1570.74010849,1600.4201049803,1578.4601173402,2832.300201416,36051.9630432396,39214.6424332176,32298.20260623,32671.0420837227,17944.0619354292,18089.4012184073
PI (22:2),-4.005661636103299,5.136187907045976,235.29657276536562,4.1716144070068767e-53,7.890310678395864e-51,670.3662 -> 393.3662,PI,1832.9401321414,2020.9001655582,1685.1401367185,1862.8001251219,1909.9001197802,26164.3617897111,25164.9421615574,21081.3213348407,32521.1427116402,35974.662567127,15664.6610870402
Lyso_PI(22:2),-3.9025054492618714,5.116834693064332,225.5317016248125,5.621403425712199e-51,9.303422669553688e-49,670.3588 -> 393.3588,PI,2126.8601341241,1944.320148468,1814.500125885,2031.4601325989,2049.2201423643,26352.2617416436,23964.2620391845,21610.2217102096,32836.0024566644,35705.6425704723,14496.680953987
Lyso_PG(22:0),-3.6651257458349105,5.244157389572416,203.42012046534887,3.745552208467649e-46,5.510123471123519e-44,586.374 -> 397.374,PG,1743.1601257316,1653.1001091003,1512.0400924685,1611.6001091005,5207.4203376743,42224.643203733,43228.303207397,33033.8423080189,22451.5820770193,1987.12015152,21081.241439814
PG (22:0),-3.15095291403083,4.887666484198527,157.42713880782028,4.128717908922677e-36,5.466422511413625e-34,586.3814 -> 397.3814,PG,1733.3401184081,1682.5401115423,1503.8201065059,1745.8001136781,4305.4602661144,40865.602996817,37004.9223175338,11946.260795582,2194.4601440439,1747.9801216126,23464.28164673
PE (40:0),2.544614748522773,11.470099214091318,108.29599845261691,2.3149144636032244e-25,2.642352004039442e-23,804.6478 -> 663.6478,PE,5192621.19689944,1562014.37585458,4387445.81799364,1126509.45336921,1055097.49475107,476976.933380075,285924.841735908,470257.354430636,547296.94409189,380904.009216349,109892.748626674
PEp (42:6),2.543733480026289,11.580117436211607,108.22868761747667,2.3948809704284974e-25,2.642352004039442e-23,804.5903 -> 663.5903,PE,5602483.86157229,1662792.97314453,4817170.01293946,1208067.84997564,1097191.42944344,488060.374786328,313942.63964841,513395.99456757,605289.30578622,414603.62353509,114452.72943117
PC (40:6),2.306493821832945,7.588753011890165,90.60849764704882,1.751067154138727e-21,1.7833945477535958e-19,834.6 -> 184.1,PCandSM,654328.258026326,53012.023712176,56018.38383482,47711.723083507,45017.843414313,40315.583099369,37097.762619018,31081.542419428,27992.5020904546,28997.242172244,15958.441146847
22:0 Campesteryl ester,2.280528207426138,7.60649322854213,88.75171113051806,4.4761008696977725e-21,4.233112536771322e-19,740.6941 -> 369.1,CE,49300.6035881196,690740.778488205,35217.7426567213,54061.1634559594,35702.6226959283,32090.1222381603,43427.2030563484,30874.7023391855,29515.922096255,30568.4422454807,25456.9617805572
PC (40:7),2.2600669544476077,7.582892801516312,87.29870342655933,9.330905239034964e-21,8.236079024321527e-19,832.6 -> 184.1,PCandSM,646603.105266517,54848.16348266,54790.483612055,50853.243225115,42042.322936993,36367.7024002107,40152.582382209,32640.2223205514,26277.8217735132,33742.862426748,15342.3010330206
PCo(40:0),2.2401418555955526,7.618010967391767,85.89279587048624,1.89959563735981e-20,1.5719153899152426e-18,832.7 -> 184.1,PCandSM,662445.607078721,54655.264251694,55150.144027708,52307.08383177,43859.882705683,38178.062377897,39852.7830085623,33115.5622406182,27755.482368473,36423.08296203,15469.481140136
PC (40:8),2.226925622473435,7.596809100905138,84.96440235734953,3.0378536812526965e-20,2.365951925869747e-18,830.6 -> 184.1,PCandSM,644691.689910905,52771.423706024,56195.823730449,53372.103363029,44223.282684317,35344.222488397,45042.683319092,32081.562049889,26603.021911625,34599.062103275,16843.101181034
22:3 Stigmasteryl ester,2.2032544769751645,7.594134213634859,83.3113731391984,7.009516682033228e-20,5.155888937228886e-18,746.6471 -> 369.1,CE,44977.0829429578,674963.688315781,38213.8828163103,53608.1640968385,39825.6430663882,35179.6625022807,41318.5432586776,31049.8623123312,31028.6620597805,34113.4825477511,24271.961585994
22:1 Campesteryl ester,2.1874468470556714,7.571134206999787,82.21416332862294,1.2211170006229361e-19,7.698851946784607e-18,738.6784 -> 369.1,CE,46681.6432380657,659459.514259358,36652.8624458345,51625.1638221872,38457.5626182446,34165.8226051333,43127.3431472764,28938.4820251525,30429.1822204541,34174.5423240581,25638.1017837424
PCo(40:1),2.18848920801412,7.63010237430956,82.2873768305833,1.1767123640145118e-19,7.698851946784607e-18,830.7 -> 184.1,PCandSM,667549.263229489,56539.403503415,55241.003921518,50261.343612675,41157.4632377492,39259.982604965,43019.683502203,33769.9823722729,31406.341964723,35057.782363885,15320.641021721
PG (22:2),-2.190730163792522,5.207640857981735,82.3620410560029,1.1330909276593181e-19,7.698851946784607e-18,582.3501 -> 393.3501,PG,18644.3214187608,7241.7205543494,1678.9201240541,1827.8401184078,1789.7801094053,23046.3016586226,30453.862319947,27594.001968377,25855.3816871671,28162.1417732337,13377.9208526601
